dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	9	17	25	11.87734085	357.8162845	24.29886402	337.4348308	6.487878959	308.5668273	-39.81082851	321.3449861	497.4183248	245.0129009	544.7249014	191.8521157	629.1595114	-389.0197585	616.9763803	-442.4114962	91.04158647	-1380.36584
passiflora	actinia		left	10	16	25	64.14597419	411.3556097	69.95145197	389.1819402	58.43975925	355.9835226	4.862802495	359.4821146	476.9413146	295.3258793	509.6242333	246.1128842	588.3319251	-429.466265	573.7265386	-492.685332	-16.08857037	-1296.242483
passiflora	actinia		left	11	15	25	22.78641973	396.2253812	30.26232754	375.5809164	12.49781801	348.7724233	-39.46031631	359.4900244	558.846641	206.8756295	571.1746978	156.3947948	636.9113904	-361.4678181	611.0369065	-456.9183906	45.13183202	-1409.101667
passiflora	actinia		left	12	14	25	10.89408917	402.8706581	16.99949083	384.0882567	9.924039718	361.5099271	-38.79006891	371.5726311	572.9381775	145.4713775	599.0596131	101.1897372	601.0296994	-369.8675931	577.4197938	-435.5266773	94.73028293	-1339.715943
passiflora	actinia		left	13	13	25	38.61722811	377.6601956	51.22915951	364.8458218	9.930259682	353.7759192	-39.42140409	356.3271913	605.98941	258.9532612	631.1311084	180.6482363	600.2905322	-389.0422844	582.7297941	-459.8578218	10.23894174	-1305.954571
passiflora	actinia		left	14	12	25	-8.806221773	391.3584804	-4.8611139	369.6264307	-24.73993085	341.9598157	-63.7168825	350.2852616	532.5064583	222.8680282	572.5183273	158.1869209	615.5719643	-419.660528	580.7178043	-491.0348426	4.296762651	-1306.820687
passiflora	actinia		left	15	11	25	6.241288155	389.9612297	21.08152593	363.2277318	-1.761056158	350.0726829	-50.94017338	363.8363947	494.3268072	262.1352206	543.5942496	191.0576597	550.8301067	-433.148026	537.8428956	-531.1886101	84.2390575	-1369.12208
passiflora	actinia		left	16	10	25	5.87524333	389.2560661	15.36025605	375.0762639	9.197092651	359.1670636	-31.25694558	350.4377975	488.405309	316.443531	546.9261011	249.8119646	594.1534175	-475.8971774	560.4159378	-534.4410521	27.13258089	-1331.548256
passiflora	actinia		left	17	9	25	-16.64871845	368.7104999	-3.748687998	355.7058173	-22.86452864	342.1180256	-76.09677966	345.731813	535.1676194	205.5493646	573.0007864	145.6441899	605.5829881	-381.4198575	582.2501569	-432.762123	94.53622296	-1444.946345
passiflora	actinia		left	18	8	25	21.90412425	342.7936729	27.8726812	323.954495	16.59772393	301.4665854	-32.51583418	308.4528668	506.7308755	216.783016	531.7690784	167.1898289	600.9609067	-220.5608133	588.0517236	-300.0540685	-2.990207963	-1580.249932
