dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	alata		right	5	10	14	-0.588340591	419.7552964	0.067066746	414.0768749	8.659746099	321.7137559	33.32354977	372.4020594	-484.6878211	66.19425871	-524.8335883	-32.11782321	-581.8321852	-332.2411947	-567.9033181	-432.7483295	-143.7115947	-1405.806315
passiflora	alata		right	6	9	14	-52.21100559	484.5610229	-46.94698334	476.126494	-26.80394812	387.6435957	-9.61242095	304.8262806	-521.4047584	228.9403253	-526.4068526	169.8913133	-531.8651092	-434.2657694	-486.5840378	-557.6502286	36.12520502	-1272.053311
passiflora	alata		right	7	8	14	68.87846134	414.1025052	62.99096133	407.4046305	25.75071431	310.8400102	49.72359969	316.6994187	-442.3475307	145.5444462	-495.3335383	85.26193623	-622.3684373	-354.2955907	-618.7826457	-479.9398785	-80.30532202	-1518.139726
passiflora	alata		right	8	7	14	-24.23255834	560.1436141	-25.15218609	543.3382887	-31.6712256	358.5395645	-5.29421011	358.9785078	-507.2838031	75.98805079	-551.6488222	-68.66470574	-517.9058571	-366.7257157	-508.8565929	-478.1088421	21.54210045	-1217.637669
passiflora	alata		right	9	6	14	74.12050747	401.8305667	75.71836143	389.0696442	54.04380598	214.0024008	99.14602322	361.5242249	-521.1166413	58.85313034	-538.6108855	-12.90941693	-579.5592515	-392.2033682	-570.8050975	-499.446215	-188.811695	-1426.583592
passiflora	alata		right	10	5	14	-93.05288018	567.3562642	-91.29531535	549.6441887	-61.21427858	317.0717877	-18.75236228	213.2527291	-383.7161972	197.1541711	-415.8606568	144.8547276	-531.1847348	-389.4003499	-487.1902064	-470.0067063	4.772614278	-1411.457942
passiflora	alata		right	11	4	14	-119.185241	480.4009166	-108.9479129	468.1691399	-70.22627791	333.3747191	-3.285421522	200.5949547	-409.4170643	255.2574408	-449.369748	181.8263648	-544.136124	-296.7023981	-546.0656688	-427.9370528	150.9713218	-1352.50046
passiflora	alata		right	12	3	14	-21.11447819	558.0474782	-14.38869401	535.3723296	-17.3147197	267.4804029	19.71994243	292.5454915	-408.0768341	189.6308894	-481.288112	83.58728543	-532.0939835	-432.7053744	-505.411542	-559.6276204	8.544947753	-1351.211955
passiflora	alata		right	13	2	14	-19.34944849	599.0778986	-13.82019371	563.5755205	-21.21219864	252.4423936	16.67269642	335.1863783	-515.1668251	60.10958351	-516.6365734	-59.08978608	-499.665186	-439.4299654	-469.704467	-541.9332607	17.50166104	-1069.27701
passiflora	alata		right	14	1	14	-75.10136003	503.2255097	-64.03293592	473.7566213	-34.86125394	260.6791612	-1.971392369	246.9722226	-422.6563963	208.7574005	-483.4854107	104.3667845	-552.101377	-256.8260532	-544.2901526	-398.4846457	128.0098393	-1456.550202
passiflora	alata		right	1	13	13	-40.55531234	587.3076974	-35.51196555	559.8354453	-31.05385912	377.9415077	28.39427021	218.1448392	-437.0612777	94.65391806	-461.2384928	53.56583932	-472.8598167	-296.4176317	-462.8511551	-371.951694	61.06229912	-1575.01207
passiflora	alata		right	2	12	13	-71.62096188	358.9104061	-71.94312659	339.8848971	-52.34457935	272.4835213	15.1554323	263.0087011	-459.8182369	148.053539	-498.4667352	109.5281888	-562.6128834	-121.3091411	-564.9631827	-225.4175458	64.0288848	-1625.018795
passiflora	alata		right	3	11	13	-49.17087654	446.116888	-46.73655576	429.7413571	-32.75942757	259.8957532	2.13850892	272.2470151	-552.3569159	62.7426633	-587.2818046	-9.262959088	-615.8289604	-239.2749366	-615.1013628	-299.6658817	19.59185695	-1362.063286
passiflora	alata		right	4	10	13	-69.21999625	454.3239416	-67.69519842	444.0759166	3.024124927	288.7156945	24.91051576	300.1760035	-637.233026	92.64306518	-651.2545726	35.49363008	-580.8407783	-345.6565508	-570.9710555	-390.4907992	15.36886569	-1095.812282
passiflora	alata		right	5	9	13	69.17199891	387.872363	64.39392529	376.7904279	22.86477722	240.7842336	82.66146334	326.4892325	-680.4667638	49.48524265	-702.8633986	-57.28440836	-617.3137415	-387.8813352	-583.0412105	-443.4073928	-223.6113832	-1187.609735
passiflora	alata		right	6	8	13	-102.2354128	393.7802062	-100.0438546	387.3237094	-49.87630794	281.9438844	-13.91486448	262.3789117	-507.2404541	198.6961737	-542.6338294	140.5859158	-609.3667374	-260.1964243	-597.2154225	-342.2543298	21.22709712	-1361.280542
